representation,max_depth,min_samples_split,min_samples_leaf,max_features,train_rmse,train_mae,train_r2,validation_rmse,validation_mae,validation_r2
descriptors,,5,1,0.5,0.3294939524750489,0.24160292428855404,0.9752009345649695,0.7937795190038416,0.6059436133648632,0.8311749337354262
descriptors,20.0,5,1,0.5,0.32956374417473183,0.2416354354361446,0.9751904278335682,0.7939045198121116,0.6061966989452487,0.8311217579331844
descriptors,10.0,2,1,0.5,0.3180005274237357,0.24162466305861643,0.9769008446756731,0.794284591592402,0.6016703383240629,0.8309600225693045
descriptors,10.0,5,2,0.5,0.3946601409004082,0.28578772607345154,0.9644215559005899,0.7957125598223878,0.6077161334594395,0.830351674628869
descriptors,,5,2,1.0,0.36071253081947,0.25549303291949077,0.9702790369538654,0.8041327061616235,0.6221036584150585,0.8267422766514018
descriptors,20.0,5,2,1.0,0.36071253081947,0.25549303291949077,0.9702790369538654,0.8041327061616236,0.6221036584150587,0.8267422766514017
descriptors,20.0,2,2,1.0,0.3482876396323907,0.24624138368690357,0.9722912749819029,0.8052014261063047,0.6217872443351445,0.8262814397081066
descriptors,,2,2,1.0,0.3482876396323907,0.24624138368690354,0.9722912749819029,0.8052014261063049,0.6217872443351443,0.8262814397081066
descriptors,,5,4,1.0,0.45027313178942485,0.31978641883008824,0.9536881121818853,0.805425653468137,0.6320868181905354,0.8261846741614295
descriptors,,2,4,1.0,0.45027313178942485,0.3197864188300882,0.9536881121818853,0.8054256534681371,0.6320868181905356,0.8261846741614294
descriptors,20.0,2,4,1.0,0.45027313178942485,0.3197864188300882,0.9536881121818853,0.8054256534681371,0.6320868181905354,0.8261846741614294
descriptors,20.0,5,4,1.0,0.45027313178942485,0.31978641883008824,0.9536881121818853,0.8054256534681372,0.6320868181905355,0.8261846741614294
descriptors,10.0,2,4,1.0,0.4534224635233296,0.323035060949498,0.9530380109433803,0.8059900185993627,0.6320659791977954,0.8259410025657943
descriptors,10.0,5,4,1.0,0.4534224635233296,0.323035060949498,0.9530380109433801,0.8059900185993627,0.6320659791977954,0.8259410025657943
descriptors,10.0,5,2,1.0,0.376089038001249,0.2715229778970083,0.9676911300098614,0.8072085558267653,0.6251317630790195,0.8254143020034967
descriptors,10.0,2,2,1.0,0.3656181294605539,0.26438625237641084,0.969465144899506,0.8078189316217598,0.6244720824944545,0.8251501740466379
descriptors,,2,1,1.0,0.2761251501447522,0.19988606676806045,0.9825838422941725,0.8096599157803839,0.622333335593886,0.8243523156644902
descriptors,20.0,2,1,1.0,0.2761767982988756,0.19991337691248134,0.9825773264333598,0.8097240480049172,0.622239983426134,0.8243244888630343
descriptors,10.0,2,1,1.0,0.31244261092725967,0.23689971630953188,0.9777012286021286,0.8126612435358185,0.6269388813319894,0.8230476855239898
descriptors,,5,1,1.0,0.3245762804054802,0.23519922399504467,0.9759356588044714,0.8127315992609047,0.6281007854820351,0.8230170450882637
descriptors,20.0,5,1,1.0,0.3245983924051279,0.23519669019580952,0.9759323798906296,0.8128607085996933,0.628168773221723,0.8229608101214506
descriptors,10.0,5,1,1.0,0.3482016965932415,0.2594806377459656,0.9723049480380542,0.817448656676278,0.6331413216766131,0.8209566811407811
